"date_time","lat","lon","elevation","satellites","hdop"
2024-05-21 08:49:39,1.644131,37.384803,569.23,10,3.4
2024-05-21 08:49:42,1.644141,37.38481,569.23,10,3.4
2024-05-21 08:49:45,1.64414,37.38481,569.23,10,3.4
2024-05-21 08:49:48,1.644116,37.384758,569.23,10,3.4
2024-05-21 08:49:51,1.644131,37.384753,569.23,10,3.4
2024-05-21 08:49:54,1.644156,37.38474,569.23,10,3.4
2024-05-21 08:49:57,1.644186,37.384745,569.23,10,3.4
2024-05-21 08:50:00,1.644213,37.384741,569.23,10,3.4
2024-05-21 08:50:03,1.644238,37.384741,569.23,9,3.4
2024-05-21 08:50:06,1.644245,37.384743,569.23,9,31.2
2024-05-21 08:50:09,1.64424,37.384735,569.23,10,3.4
2024-05-21 08:50:12,1.644246,37.384743,569.23,10,3.4
2024-05-21 08:50:15,1.644241,37.384746,569.23,10,3.4
2024-05-21 08:50:18,1.644233,37.384773,569.23,10,3.4
2024-05-21 08:50:21,1.644223,37.384788,569.23,10,3.4
2024-05-21 08:50:24,1.644221,37.384816,569.23,10,3.4
2024-05-21 08:50:27,1.644226,37.384861,569.23,10,3.4
2024-05-21 08:50:30,1.644215,37.384871,569.23,10,3.4
2024-05-21 08:50:33,1.644383,37.385711,569.23,10,1.5
2024-05-21 08:50:36,1.644243,37.386191,569.23,10,1.5
2024-05-21 08:50:39,1.644316,37.386238,569.23,10,1.4
2024-05-21 08:50:42,1.644351,37.386271,569.23,10,1.5
2024-05-21 08:50:45,1.644371,37.3863,569.23,10,1.4
2024-05-21 08:50:48,1.644391,37.38633,569.23,10,1.4
2024-05-21 08:50:51,1.644408,37.386358,569.23,10,1.4
2024-05-21 08:50:54,1.64441,37.386385,569.23,10,1.4
2024-05-21 08:50:57,1.64432,37.386373,569.23,10,1.4
2024-05-21 08:51:00,1.644143,37.386361,569.23,10,1.4
2024-05-21 08:51:03,1.644268,37.386375,569.23,10,1.1
2024-05-21 08:51:06,1.644285,37.386433,569.23,10,1.1
2024-05-21 08:51:09,1.644291,37.386455,569.23,10,1.1
2024-05-21 08:51:12,1.644293,37.386486,569.23,10,1.1
2024-05-21 08:51:15,1.644246,37.38649,569.23,10,1.1
2024-05-21 08:51:18,1.644208,37.386508,569.23,10,1.1
2024-05-21 08:51:21,1.644248,37.386593,569.23,10,1.1
2024-05-21 08:51:24,1.644233,37.386683,569.23,9,1.1
2024-05-21 08:51:27,1.644218,37.386746,569.23,9,1.1
2024-05-21 08:51:30,1.644236,37.386746,569.23,10,1.1
2024-05-21 08:51:33,1.6442,37.38676,569.23,9,1.1
2024-05-21 08:51:36,1.644171,37.386785,569.23,8,1.1
2024-05-21 08:51:39,1.644148,37.38682,569.23,8,1.1
2024-05-21 08:51:42,1.64413,37.38681,569.23,8,1.1
2024-05-21 08:51:45,1.644136,37.386776,569.23,9,1.1
2024-05-21 08:51:48,1.64415,37.386758,569.23,7,1.1
2024-05-21 08:51:51,1.644125,37.386746,569.23,9,1.1
2024-05-21 08:51:54,1.6441,37.386701,569.23,9,1.1
2024-05-21 08:51:57,1.644056,37.386655,569.23,10,1.1
2024-05-21 08:52:00,1.644015,37.386615,569.23,10,1.1
2024-05-21 08:52:03,1.644003,37.386583,569.23,10,1.1
2024-05-21 08:52:06,1.643983,37.386551,569.23,10,1.1
2024-05-21 08:52:09,1.644,37.38653,569.23,9,1.1
2024-05-21 08:52:12,1.644036,37.386551,569.23,10,1.1
2024-05-21 08:52:15,1.644068,37.386576,569.23,10,1.1
2024-05-21 08:52:18,1.644105,37.386603,569.23,10,1.1
2024-05-21 08:52:21,1.644145,37.386633,569.23,10,1.1
2024-05-21 08:52:24,1.64417,37.38666,569.23,10,1.1
2024-05-21 08:52:27,1.64412,37.386646,569.23,10,1
2024-05-21 08:52:30,1.644041,37.38661,569.23,9,1
2024-05-21 08:52:33,1.64405,37.38662,569.23,8,0.8
2024-05-21 08:52:36,1.64405,37.386658,569.23,8,0.8
2024-05-21 08:52:39,1.644141,37.386703,569.23,9,0.8
2024-05-21 08:52:42,1.6442,37.386708,569.23,9,0.8
2024-05-21 08:52:45,1.644263,37.386751,569.23,9,0.8
2024-05-21 08:52:48,1.644261,37.386811,569.23,9,0.8
2024-05-21 08:52:51,1.644275,37.386861,569.23,8,0.8
2024-05-21 08:52:54,1.644296,37.386893,569.23,7,0.8
2024-05-21 08:52:57,1.644313,37.386896,569.23,10,0.8
2024-05-21 08:53:00,1.644326,37.386933,569.23,10,0.8
2024-05-21 08:53:03,1.644345,37.38697,569.23,10,0.8
2024-05-21 08:53:06,1.644355,37.386941,569.23,10,0.8
2024-05-21 08:53:09,1.644368,37.386948,569.23,10,0.8
2024-05-21 08:53:12,1.64438,37.386975,569.23,10,0.8
2024-05-21 08:53:15,1.644393,37.387001,569.23,10,0.8
2024-05-21 08:53:18,1.644413,37.387031,569.23,10,0.8
2024-05-21 08:53:21,1.644416,37.387063,569.23,9,0.8
2024-05-21 08:53:24,1.64442,37.387101,569.23,9,0.8
2024-05-21 08:53:27,1.64442,37.387128,569.23,8,0.8
2024-05-21 08:53:30,1.644423,37.387158,569.23,8,0.8
2024-05-21 08:53:33,1.64442,37.38719,569.23,10,0.8
2024-05-21 08:53:36,1.644441,37.387225,569.23,9,0.8
2024-05-21 08:53:39,1.644461,37.387251,569.23,8,0.8
2024-05-21 08:53:42,1.644481,37.387276,569.23,9,0.8
2024-05-21 08:53:45,1.644513,37.387305,569.23,10,0.8
2024-05-21 08:53:48,1.64454,37.387335,569.23,9,0.8
2024-05-21 08:53:51,1.644556,37.387356,569.23,10,0.8
2024-05-21 08:53:54,1.644578,37.387383,569.23,10,0.8
2024-05-21 08:53:57,1.6446,37.387421,569.23,10,0.8
2024-05-21 08:54:00,1.644611,37.387461,569.23,10,0.8
2024-05-21 08:54:03,1.644618,37.38749,569.23,9,0.8
2024-05-21 08:54:06,1.644631,37.38752,569.23,10,0.8
2024-05-21 08:54:09,1.644638,37.387555,569.23,10,0.8
2024-05-21 08:54:12,1.644631,37.38759,569.23,9,0.8
2024-05-21 08:54:15,1.644635,37.387625,569.23,10,0.8
2024-05-21 08:54:18,1.644633,37.387656,569.23,9,0.8
2024-05-21 08:54:21,1.644655,37.387673,569.23,9,0.8
2024-05-21 08:54:24,1.644653,37.387715,569.23,8,0.8
2024-05-21 08:54:27,1.644655,37.387748,569.23,8,0.8
2024-05-21 08:54:30,1.644648,37.387781,569.23,8,0.8
2024-05-21 08:54:33,1.644636,37.387793,569.23,5,0.8
2024-05-21 08:54:36,1.644631,37.3878,569.23,6,0.8
2024-05-21 08:54:39,1.644628,37.387796,569.23,8,0.8
2024-05-21 08:54:42,1.644631,37.387788,569.23,7,0.8
2024-05-21 08:54:45,1.644635,37.38779,569.23,6,0.8
2024-05-21 08:54:48,1.644661,37.387795,569.23,6,0.8
2024-05-21 08:54:51,1.644683,37.38781,569.23,7,0.8
2024-05-21 08:54:54,1.644695,37.387813,569.23,9,0.8
2024-05-21 08:54:57,1.644686,37.387823,569.23,9,0.8
2024-05-21 08:55:00,1.644681,37.387825,569.23,9,0.8
2024-05-21 08:55:03,1.644688,37.387821,569.23,7,0.8
2024-05-21 08:55:06,1.64469,37.387825,569.23,8,0.8
2024-05-21 08:55:09,1.644688,37.387825,569.23,9,0.8
2024-05-21 08:55:12,1.644686,37.387826,569.23,9,0.8
2024-05-21 08:55:15,1.644685,37.387826,569.23,3,0.8
2024-05-21 08:55:18,1.644683,37.387828,569.23,3,0.8
2024-05-21 08:55:21,1.644683,37.38783,569.23,3,0.8
2024-05-21 08:55:24,1.644685,37.387831,569.23,3,0.8
2024-05-21 08:55:27,1.644686,37.387831,569.23,3,0.8
2024-05-21 08:55:30,1.64469,37.387833,569.23,3,0.8
2024-05-21 08:55:33,1.644693,37.387835,569.23,7,0.8
2024-05-21 08:55:36,1.644691,37.387836,569.23,7,0.8
2024-05-21 08:55:39,1.644691,37.387838,569.23,8,0.8
2024-05-21 08:55:42,1.644693,37.38784,569.23,8,0.8
2024-05-21 08:55:45,1.644695,37.387841,569.23,5,0.8
2024-05-21 08:55:48,1.644698,37.387843,569.23,5,0.8
2024-05-21 08:55:51,1.644698,37.387845,569.23,8,0.8
2024-05-21 08:55:54,1.644698,37.387845,569.23,9,0.8
2024-05-21 08:55:57,1.644698,37.387845,569.23,8,0.8
2024-05-21 08:56:00,1.644698,37.387845,569.23,9,0.8
2024-05-21 08:56:03,1.644701,37.387838,569.23,9,0.8
2024-05-21 08:56:06,1.64474,37.387825,569.23,8,0.8
2024-05-21 08:56:09,1.64477,37.387811,569.23,7,0.8
2024-05-21 08:56:12,1.644768,37.38777,569.23,7,0.8
2024-05-21 08:56:15,1.644758,37.387741,569.23,8,0.8
2024-05-21 08:56:18,1.644751,37.387703,569.23,9,0.8
2024-05-21 08:56:21,1.64474,37.387671,569.23,8,0.8
2024-05-21 08:56:24,1.644715,37.38764,569.23,9,0.8
2024-05-21 08:56:27,1.6447,37.387611,569.23,9,0.8
2024-05-21 08:56:30,1.64469,37.387588,569.23,10,0.8
2024-05-21 08:56:33,1.644676,37.387563,569.23,10,0.8
2024-05-21 08:56:36,1.644668,37.38753,569.23,10,0.8
2024-05-21 08:56:39,1.64466,37.387505,569.23,10,0.8
2024-05-21 08:56:42,1.644643,37.387478,569.23,10,0.8
2024-05-21 08:56:45,1.644625,37.387451,569.23,9,0.8
2024-05-21 08:56:48,1.644616,37.38742,569.23,10,0.8
2024-05-21 08:56:51,1.644605,37.387391,569.23,9,0.8
2024-05-21 08:56:54,1.644596,37.387356,569.23,10,0.8
2024-05-21 08:56:57,1.644591,37.387321,569.23,10,0.8
2024-05-21 08:57:00,1.644581,37.38729,569.23,10,0.8
2024-05-21 08:57:03,1.644573,37.387253,569.23,10,0.8
2024-05-21 08:57:06,1.644576,37.387216,569.23,10,0.8
2024-05-21 08:57:09,1.644588,37.387183,569.23,10,0.8
2024-05-21 08:57:12,1.644595,37.387148,569.23,10,0.8
2024-05-21 08:57:15,1.644591,37.387118,569.23,10,0.8
2024-05-21 08:57:18,1.644591,37.387081,569.23,8,0.8
2024-05-21 08:57:21,1.644595,37.38704,569.23,7,0.8
2024-05-21 08:57:24,1.644591,37.387003,569.23,5,0.8
2024-05-21 08:57:27,1.644595,37.386966,569.23,9,0.8
2024-05-21 08:57:30,1.644595,37.386928,569.23,10,0.8
2024-05-21 08:57:33,1.644586,37.386893,569.23,9,0.8
2024-05-21 08:57:36,1.644578,37.386861,569.23,9,0.8
2024-05-21 08:57:39,1.644573,37.38683,569.23,10,0.8
